Dataset,Model,Accuracy,F1-score
DB5_5_3FEATS,SVM,0.6979812640189998,0.7045027427021059
DB5_5_3FEATS,RandomForest,0.7143422615120728,0.7219094849465527
DB5_5_3FEATS,KNN,0.6967937722654703,0.7056272624923218
DB5_5_3FEATS,LogisticRegression,0.6259400976382108,0.6335504808136753
DB5_5_3FEATS,LDA,0.6044333025465101,0.6149278523093106
DB5_5_9FEATS,SVM,0.6682939701807626,0.674683310739949
DB5_5_9FEATS,RandomForest,0.7180366803008312,0.7252141613488445
DB5_5_9FEATS,KNN,0.6094471566169679,0.6247539939959259
DB5_5_9FEATS,LogisticRegression,0.6192109777015438,0.6253079779430817
DB5_5_9FEATS,LDA,0.6056207943000396,0.6166132666727787
DB5_10_3FEATS,SVM,0.6196665353813837,0.6290479904844325
DB5_10_3FEATS,RandomForest,0.640869108572929,0.6520109339679764
DB5_10_3FEATS,KNN,0.625049231981095,0.6377769558118734
DB5_10_3FEATS,LogisticRegression,0.5232374950768018,0.5350853176901367
DB5_10_3FEATS,LDA,0.5076145464093476,0.5202221716221097
DB5_10_9FEATS,SVM,0.5809373769200472,0.5922208819467627
DB5_10_9FEATS,RandomForest,0.6423132466850466,0.6529302347561514
DB5_10_9FEATS,KNN,0.4946173034002888,0.5208562737299884
DB5_10_9FEATS,LogisticRegression,0.5230405671524222,0.5329704341429409
DB5_10_9FEATS,LDA,0.5015097807535775,0.5138351321363147
